journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
"Journal of Property Investment and Finance
(Formerly Journal of Property Valuation and Investment)",1463-578X,1470-2002,http://www.proquest.com/,1504,B,2010
Journal of Property Management: the official publication of the Institute of Real Estate Management,0022-3905,,http://www.irem.org/sechome.cfm?sec=JPM,"1,504",C,2010
Journal of Property Research,0959-9916,1466-4453,http://www.ebscohost.com/,1504,B,2010
Journal of Public Administration Research and Theory,1053-1858,1477-9803,http://jpart.oxfordjournals.org/,"1,499",A,2010
Journal of Public Affairs,1472-3891,1479-1854,http://www3.interscience.wiley.com/,"1,505",B,2010
"Journal of Public Budgeting, Accounting and Financial Management",1096-3367,1945-1814,,"1,501",B,2010
Journal of Public Economic Theory,1097-3923,1467-9779,http://www3.interscience.wiley.com/,"1,402",B,2010
Journal of Public Economics,0047-2727,,http://www.sciencedirect.com/,"1,402",A*,2010
Journal of Public Finance,1120-7019,,,"1,499",C,2010
Journal of Public Policy,0143-814X,1469-7815,http://journals.cambridge.org/,"1,499",B,2010
Journal of Public Policy  Marketing,0743-9156,1547-7207,http://www.marketingpower.com/,"1,505",A,2010
Journal of Public Relations Research,1062-726X,1532-754X,http://www.ebscohost.com/,"1,505",C,2010
Journal of Public Transportation,1077-291X,,http://www.nctr.usf.edu/,"1,507",C,2010
Journal of Purchasing and Supply Management,1478-4092,1873-6505,http://www.elsevier.com/,"1,503",C,2010
Journal of Quality Assurance in Hospitality  Tourism,1528-008X,1528-0098,http://www.ebscohost.com/,"1,506",C,2010
Journal of Quality Technology,0022-4065,0022-4065,http://www.proquest.co.uk/en-UK/,"1,503",A,2010
Journal of Quantitative Economics,0971-1554,,http://www.tiesindia.net/,"1,402",B,2010
Journal of Real Estate Finance and Economics,0895-5638,1573-045X,http://www.springerlink.com/,1504,B,2010
Journal of Real Estate Literature,0927-7544,1573-8809,http://www.springerlink.com/,1504,C,2010
Journal of Real Estate Portfolio Management,1083-5547,,http://www.ebscohost.com/,1504,B,2010
Journal of Real Estate Practice and Education,1521-4842,1930-8914,,"1,504",B,2010
Journal of Real Estate Research,0896-5803,,http://www.ebscohost.com/,1504,B,2010
Journal of Regional Science,0022-4146,1467-9787,http://www3.interscience.wiley.com/,"1,402",A,2010
Journal of Regulatory Economics,0922-680X,1573-0468,http://www.springerlink.com/,"1,402",A,2010
Journal of Relationship Marketing,1533-2667,1533-2675,http://www.informaworld.com/,"1,505",C,2010
Journal of Research and Practice in Information Technology,1443-458X,0004-8917,http://www.acs.org.au/jrpit/index.html,806,B,2010
Journal of Research for Consumers,1444-6359,,http://www.jrconsumers.com/,"1,505",C,2010
Journal of Research in Marketing and Entrepreneurship,1471-5201,1471-521X,http://emeraldinsight.com/,1505,C,2010
Journal of Research Practice,1712-815X,,http://jrp.icaap.org/,1503,C,2010
Journal of Retail and Leisure Property,1479-1110,1750-2098,http://www.palgrave-journals.com/,"1,502",B,2010
Journal of Retailing,0022-4359,1873-3271,http://www.proquest.com/,"1,505",A*,2010
Journal of Retailing and Consumer Services,0969-6989,1873-1384,http://www.sciencedirect.com/,"1,505",B,2010
Journal of Revenue and Pricing Management,1476-6930,1477-657X,http://www.palgrave-journals.com/,1505,B,2010
Journal of Risk,1465-1211,1755-2842,http://www.thejournalofrisk.com/,"1,502",C,2010
Journal of Risk and Insurance,0022-4367,1539-6975,http://www.blackwellpublishing.com/,"1,502",A,2010
Journal of Risk and Uncertainty,0895-5646,1573-0476,http://www.springerlink.com/,"1,401",A*,2010
Journal of Risk Research,1366-9877,1466-4461,http://www.tandf.co.uk/,"1,502",C,2010
Journal of Safety Research,0022-4375,1879-1247,http://www.sciencedirect.com/,"1,507",C,2010
Journal of Scheduling,1094-6136,1099-1425,http://www.springerlink.com/,"1,503",A,2010
Journal of Selling and Major Account Management,1463-1431,,http://www.cob.niu.edu/jsmam/,"1,505",C,2010
Journal of Service Management,1757-5818,1757-5826,http://www.ingentaconnect.com/,"1,503",B,2010
Journal of Service Research,1094-6705,1552-7379,http://jsr.sagepub.com/,"1,505",A,2010
Journal of Services Marketing,0887-6045,,http://www.emeraldinsight.com/,"1,505",B,2010
Journal of Services Research,0972-4702,,http://www.jsr-iimt.in/,1505,C,2010
Journal of Small Business and Enterprise Development,1462-6004,1758-7840,http://www.emeraldinsight.com/,"1,503",C,2010
Journal of Small Business and Entrepreneurship,0827-6331,,http://www.ccsbe.org/jsbe,"1,503",C,2010
Journal of Small Business Management,0047-2778,1540-627X,http://www.blackwellpublishing.com/,"1,503",A,2010
Journal of Small Business Strategy,1081-8510,,http://www.proquest.co.uk/en-UK/,"1,503",C,2010
Journal of Social and Economic Development,0972-5792,,http://www.isec.ac.in/journal.htm,"1,402",C,2010
Journal of Social Policy,0047-2794,1469-7823,http://journals.cambridge.org/,"1,503",A,2010
Journal of Social Psychology,0022-4545,1940-1183,http://www.ebscohost.com/,"1,503",B,2010
"Journal of Social, Political and Economic Studies",0278-839X,,http://www.proquest.co.uk/en-UK/,"1,402",C,2010
Journal of Socio-Economics,1053-5357,1879-1239,http://www.sciencedirect.com/,"1,402",B,2010
Journal of Sociology,1440-7833,1741-2978,http://jos.sagepub.com/,"1,503",B,2010
Journal of Software Maintenance and Evolution: research and practice,1532-060X,1532-0618,http://www3.interscience.wiley.com/,806,B,2010
Journal of South Asian Development,0973-1741,0973-1733,http://sad.sagepub.com/,"1,402",C,2010
Journal of Southeast Asian Studies,0022-4634,1474-0680,http://www.jstor.org/,"1,503",C,2010
Journal of Sponsorship,1754-1360,1754-1379,,"1,505",C,2010
Journal of Sport and Social Issues,0193-7235,1552-7638,http://jss.sagepub.com/,"1,504",B,2010
Journal of Sport Behaviour,0162-7341,,http://www.proquest.com/,"1,504",C,2010
Journal of Sport Economics,1527-0025,1552-7794,http://jse.sagepub.com/,"1,504",B,2010
Journal of Sport History,0094-1700,,http://www.la84foundation.org/,"1,504",C,2010
Journal of Sport Management,0888-4773,1543-270X,http://hk.humankinetics.com/,"1,504",A,2010
Journal of Sport Tourism,1477-5085,1029-5399,http://www.informaworld.com/,"1,506",C,2010
Journal of Sports Economics,1527-0025,1552-7794,http://jse.sagepub.com/,"1,402",B,2010
Journal of State Taxation,0744-6713,,http://www.ebscohost.com/,"1,80,125",C,2010
Journal of Statistical Computation and Simulation,0094-9655,1563-5163,http://www.informaworld.com/,"1,403",C,2010
Journal of Statistical Planning and Infererence,0378-3758,1873-1171,http://www.sciencedirect.com/,"1,403",A,2010
Journal of Statistical Research,0256-422X,,,"1,403",C,2010
Journal of Statistical Software,1548-7660,,http://www.jstatsoft.org/,"1,403",C,2010
Journal of Statistical Theory and Applications,1538-7887,,http://www.mscs.mu.edu/~jsta/,"1,403",C,2010
Journal of Statistics and Management Systems,0972-0510,,,"1,403",C,2010
Journal of Statistics Education,1069-1898,,http://www.amstat.org/publications/jse/,"1,403",B,2010
Journal of Strategic Marketing,0965-254X,1466-4488,http://www.ebscohost.com/,"1,505",A,2010
Journal of Strategy and Management,1755-425X,,http://www.emeraldinsight.com/,1503,C,2010
Journal of Supply Chain Management: a global review of purchasing and supply,1523-2409,1745-493X,http://www.blackwellpublishing.com/,"1,503",B,2010
Journal of Sustainable Tourism,0966-9582,1747-7646,http://www.swetswise.com/,"1,506",A,2010
Journal of Systems and Information Technology,1328-7265,1758-8847,http://www.emeraldinsight.com/,806,C,2010
Journal of Systems and Software,0164-1212,1873-1228,http://www.sciencedirect.com/,806,A,2010
"Journal of Targeting, Measurement  Analysis for Marketing",0967-3237,,http://www.ebscohost.com/,"1,505",C,2010
Journal of Taxation of Investments ,0747-9115,1933-933X,http://www.civicresearchinstitute.com/jti.html,180125,C,2010
"Journal of Taxation: a national journal of current developments, analysis, and commentary for tax professionals",0022-4863,,http://ria.thomsonreuters.com/,"1,80,125",B,2010
Journal of Teaching in International Business,0897-5930,1528-6991,http://www.informaworld.com/,"1,503",C,2010
Journal of Teaching in Travel and Tourism: the professional journal of the international society of travel and tourism educators,1531-3220,1531-3239,http://www.ebscohost.com/,"1,506",C,2010
Journal of Technology Management and Innovation,0718-2724,,http://www.jotmi.org/,"1,503",C,2010
Journal of Technology Management in China,1746-8779,1746-8787,http://www.emeraldinsight.com/,"1,503",C,2010
Journal of Technology Transfer,0892-9912,1573-7047,http://springerlink.metapress.com/,"1,503",C,2010
Journal of the Academy of Marketing Science,0092-0703,1552-7824,http://www.springerlink.com/,"1,505",A*,2010
Journal of the ACM,0004-5411,1557-735X,http://jacm.acm.org/,806,A*,2010
Journal of the American Medical Informatics Association,1067-5027,1527-974X,http://www.ncbi.nlm.nih.gov/,806,B,2010
Journal of the American Statistical Association,0162-1459,1537-274X,http://www.amstat.org/publications/jasa.cfm,"1,403",A*,2010
Journal of the American Taxation Association,0198-9073,1558-8017,http://aaapubs.aip.org/jata/,"1,80,125",A,2010
Journal of the Asia Pacific Centre for Environmental Accountability,1448-6679,,http://www.unisa.edu.au/cags/journals.asp,"1,501",C,2010
Journal of the Asia Pacific Economy,1354-7860,1469-9648,http://www.informaworld.com/,"1,402",B,2010
Journal of the Association of Information Systems,1536-9323,1558-3457,http://www.ebscohost.com/,806,A,2010
Journal of the Australasian Law Teachers Association,1836-5612,,http://www.alta.edu.au/JALTA.htm,180105,C,2010
Journal of the Australasian Tax Teachers Association,1832-911X,,http://www.atax.unsw.edu.au/,"1,80,125",B,2010
Journal of the Economic and Social History of the Orient,0022-4995,1568-5209,http://www.swetswise.com/,"1,402",B,2010
Journal of the European Economic Association,1542-4766,1542-4774,http://www.mitpressjournals.org/,"1,402",A,2010
Journal of the History of Economic Thought,1053-8372,1469-9656,http://journals.cambridge.org/,1401,B,2010
Journal of the International Academy of Hospitality Research,1052-6099,,http://scholar.lib.vt.edu/,"1,506",C,2010
Journal of the Japan Statistical Society,0389-5602,1348-6365,http://www.journalarchive.jst.go.jp/,"1,403",C,2010
Journal of the Japanese and International Economies,0889-1583,1095-8681,http://www.sciencedirect.com/,"1,402",A,2010
Journal of the Korean Economy,1598-2750,,,"1,402",C,2010
Journal of the Operational Research Society,0160-5682,1476-9360,http://www.palgrave-journals.com/,"1,503",A,2010
Journal of the Operations Research Society of Japan,0453-4514,,,"1,503",B,2010
Journal of the Royal Statistical Society Series A: Statistics in Society,0964-1998,1467-985X,http://www3.interscience.wiley.com/,"1,403",A,2010
Journal of the Royal Statistical Society Series B: Statistical Methodology,1369-7412,1467-9868,http://www3.interscience.wiley.com/,"1,403",A*,2010
Journal of the Royal Statistical Society Series D: The Statistician,0039-0526,1467-9884,http://www3.interscience.wiley.com/,"1,403",A,2010
Journal of the Royal Statistical Society: Series C (Applied Statistics),0035-9254,1467-9876,http://www3.interscience.wiley.com/,"1,403",A,2010
Journal of the Statistical and Social Inquiry Society of Ireland,0081-4776,,,"1,403",C,2010
Journal of the Transportation Research Forum,1046-1469,,http://www.trforum.org/,"1,507",C,2010
Journal of the UK Association of Christian Economists,0956-3067,,http://www.christian-economists.org.uk/,"1,402",C,2010
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,,http://www.jtaer.com/,806,C,2010
Journal of Theoretical Probability,0894-9840,1572-9230,http://www.springerlink.com/,"1,403",B,2010
Journal of Time Series Analysis,0143-9782,1467-9892,http://www3.interscience.wiley.com/,"1,403",A,2010
Journal of Tourism and Cultural Change,1476-6825,1747-7654,http://www.swetswise.com/,"1,506",C,2010
Journal of Tourism Challenges and Trends,1844-9743,,http://journaltct.wordpress.com/,1506,C,2010
Journal of Tourism History,1755-182X,1755-1838,http://www.informaworld.com/,"1,506",C,2010
Journal of Tourism Studies,1035-4662,,http://search.informit.com.au/,"1,506",A,2010
Journal of Transnational Management,1547-5778,1547-5786,http://www.tandf.co.uk/,"1,503",C,2010
Journal of Transport and Land Use,1938-7849,,https://www.jtlu.org/,"1,507",C,2010
Journal of Transport Economics and Policy,0022-5258,1754-5951,http://www.swetswise.com/,"1,507",A,2010
Journal of Transport Geography,0966-6923,1873-1236,http://www.sciencedirect.com/,"1,507",B,2010
Journal of Transport History,0022-5266,,http://www.ingentaconnect.com/,"1,507",C,2010
Journal of Transportation and Statistics,1094-8848,,http://www.bts.gov/,"1,507",C,2010
Journal of Transportation Engineering,0733-947X,1943-5436,,"1,507",B,2010
"Journal of Transportation Law, Logistics and Policy",1078-5906,,http://www.proquest.com/,"1,507",C,2010
Journal of Transportation System Engineering and Information Technology,1009-6744,,http://jtysxtgcyxx.periodicals.net.cn/,"1,507",C,2010
Journal of Travel and Tourism Marketing,1054-8408,1540-7306,http://www.informaworld.com/,"1,506",A,2010
Journal of Travel and Tourism Research,1302-8545,,http://www.ebscohost.com/,"1,506",C,2010
Journal of Travel Research,0047-2875,1552-6763,http://jtr.sagepub.com/,"1,506",A*,2010
Journal of Urban Economics,0094-1190,1095-9068,http://www.sciencedirect.com/,1402,A,2010
Journal of Urban Planning and Development,0733-9488,1943-5444,,"1,507",B,2010
Journal of Vacation Marketing,1356-7667,1479-1870,http://jvm.sagepub.com/,"1,506",B,2010
Journal of Vocational Behavior,0001-8791,1095-9084,http://www.elsevier.com/,"1,503",A*,2010
Journal of Vocational Education and Training,1363-6820,1747-5090,http://www.informaworld.com/,"1,503",A,2010
Journal of Wine Economics,1931-4361,1931-437X,http://www.wine-economics.org/journal/,"1,402",C,2010
Journal of Workplace Learning: employee counselling today,1366-5626,1758-7859,http://www.emeraldinsight.com/,"1,503",C,2010
Journal of World Business,1090-9516,1878-5573,http://www.elsevier.com/,"1,503",A,2010
Journal of World Investment and Trade,1660-7112,,http://www.wernerpubl.com/frame_inves.htm,"1,80,105",A,2010
Journal of World Trade,1011-6702,,http://heinonline.org/,"1,402",B,2010
Journalism and Mass Communication Educator,1077-6958,,http://www.proquest.com/,"1,503",B,2010
Journalism and Mass Communication Quarterly,1077-6990,,http://www.proquest.co.uk/en-UK/,"1,503",A,2010
Juridical Review: law journal of Scottish universities,0022-6785,,http://www.heinonline.org/,"1,80,105",B,2010
Just Labor,1705-1436,,http://www.justlabour.yorku.ca/,1503,B,2010
Keeping Good Companies,1444-7614,,http://search.informit.com.au/,"1,503",C,2010
Keio Economic Studies,0022-9709,,,"1,402",C,2010
Keizai Kagaku,0022-9725,,http://www.soec.nagoya-u.ac.jp/,"1,402",C,2010
Kerala: an economic review,0453-7440,,,1402,C,2010
King's Law Journal,0961-5768,1757-8442,http://www.heinonline.org/,"1,80,105",B,2010
Knowledge and Information Systems,0219-1377,0219-3116,http://www.springerlink.com/,806,B,2010
Knowledge and Process Management (Print): the journal of corporate transformation,1092-4604,1099-1441,http://www3.interscience.wiley.com/,"1,503",C,2010
Knowledge Management Research and Practice,1477-8238,1477-8246,http://www.palgrave-journals.com/,806,B,2010
Knowledge-Based Systems,0950-7051,1872-7409,http://www.sciencedirect.com/,806,B,2010
Kobe University Economic Review,0454-1111,,,"1,402",C,2010
Korea Review of International Studies,1226-4741,,,"1,402",C,2010
Kredit und Kapital,0023-4591,0720-6801,http://www.kredit-und-kapital.de/,"1,401",C,2010
Kyklos,0023-5962,1467-6435,http://www3.interscience.wiley.com/,"1,402",A,2010
Kyoto Economic Review,1349-6786,1349-6778,http://www.jstage.jst.go.jp/browse/ker,1402,C,2010
Labor History,0023-656X,1469-9702,http://www.tandf.co.uk/,"1,503",A,2010
Labor Studies Journal,0160-449X,1538-9758,http://lsj.sagepub.com/,"1,503",B,2010
Labor: Studies in the Working Class History of the Americas,1547-6715,1558-1454,http://labor.dukejournals.org/,1503,B,2010
Labour and Industry: a journal of the social and economic relations of work,1030-1763,,,"1,503",B,2010
Labour and Management in Development,1443-6698,,http://catalogue.nla.gov.au/Record/1070754,"1,402",C,2010
Labour Economics,0927-5371,,http://www.sciencedirect.com/,"1,402",A,2010
Labour History Review,0961-5652,1745-8188,http://maney.co.uk/index.php/journals/lhr/,"1,503",B,2010
Labour History: a journal of labour and social history,0023-6942,,http://www.asslh.com/journal/index.htm,"1,503",B,2010
Labour Law Journal,0023-6977,,,"1,80,105",C,2010
Labour: journal of Canadian labour studies - revue d'etudes ouvrieres Canadiennes,0700-3862,,http://www.cclh.ca/llt/index.php,"1,503",B,2010
Labour: review of labour economics and industrial relations,1121-7081,1467-9914,http://www.wiley.com/,"1,503",B,2010
Land Economics: a quarterly journal devoted to the study of economic and social institutions,0023-7639,1543-8325,http://www.ebscohost.com/,"1,402",A,2010
Land Use Policy,0264-8377,1873-5754,http://www.sciencedirect.com/,"1,499",A,2010
Language and Communication,0271-5309,1873-3395,http://www.sciencedirect.com/,"1,503",B,2010
Lavoro e Diritto,1120-947X,,http://www.mulino.it/,"1,499",C,2010
Law and Financial Markets Review,1752-1440,1752-1459,http://search.informit.com.au/,"1,80,105",B,2010
Law and Policy,0265-8240,1467-9930,http://www3.interscience.wiley.com/,"1,80,105",A,2010
Law Quarterly Review,0023-933X,,http://au.westlaw.com/,"1,80,105",A*,2010
Leadership,1742-7150,1742-7169,http://lea.sagepub.com/,"1,503",C,2010
Leadership and Organization Development Journal,0143-7739,1472-5347,http://www.emeraldinsight.com/,"1,503",B,2010
Leadership in Health Services,1751-1879,1751-1887,http://www.proquest.co.uk/en-UK/,"1,503",C,2010
Legal Education Review,1033-2839,,http://heinonline.org/,"1,80,105",C,2010
Legal Issues in Business,1442-911X,,,"1,80,105",C,2010
Legal Issues of Economic Integration,1566-6573,0377-0915,http://www.kluwerlawonline.com/,"1,80,105",A,2010
Leisure,1492-7713,2151-2221,http://www.tandf.co.uk/,"1,506",B,2010
Leisure Sciences: an interdisciplinary journal,0149-0400,1521-0588,http://www.ebscohost.com/,"1,506",A,2010
Leisure Studies,0261-4367,1466-4496,http://www.ebscohost.com/,"1,506",B,2010
Les Cahiers Scientifiques du Transport,1150-8809,,,"1,507",C,2010
Lifetime Data Analysis: an international journal devoted to the methods and applications of reliability and survival analysis,1380-7870,1572-9249,http://www.springerlink.com/,"1,403",B,2010
Liiketaloudellinen Aikakauskirja,0024-3469,,,"1,402",C,2010
L'Institut Henri Poincare. Annales (B). Probabilites et Statistiques,0246-0203,,,"1,403",A,2010
Llafur,0306-0837,,http://www.llafur.org/journal.htm,"1,503",C,2010
Lloyd's Maritime and Commercial Law Quarterly,0306-2945,,,"1,80,105",A,2010
Local Economy,0269-0942,1470-9325,http://www.informaworld.com/,"1,402",C,2010
Local Government Studies,0300-3930,1743-9388,http://www.informaworld.com/,"1,499",A,2010
Loisir et Societe,0705-3436,1705-0154,,"1,506",B,2010
Long Range Planning,0024-6301,1873-1872,http://www.elsevier.com/,"1,503",A,2010
Macquarie Journal of Business Law,1449-0269,,http://www.heinonline.org/,"1,80,105",C,2010
Macquarie Law Journal,1445-386X,,http://www.heinonline.org/,"1,80,105",C,2010
Macroeconomic Dynamics,1365-1005,1469-8056,http://journals.cambridge.org/,"1,402",A,2010
Macroeconomics Annual,0889-3365,1537-2642,http://www.ebscohost.com/,"1,401",A,2010
Malayan Law Journal,0025-1283,0217-4189,,"1,80,105",C,2010
Malaysian Accounting Review,1675-4077,,http://digital.ptar.uitm.edu.my/,"1,501",C,2010
Malaysian Journal of Economic Studies,0126-5350,,http://www.proquest.co.uk/en-UK/,"1,402",C,2010
Management,1331-0194,,http://www.efst.hr/management/,"1,503",C,2010
Management   Organizational History,1744-9359,1744-9367,http://moh.sagepub.com/,"1,503",C,2010
Management  Organization Review,1740-8776,1740-8784,http://www3.interscience.wiley.com/,"1,503",B,2010
Management Accounting Quarterly,1528-5359,0025-1690,http://www.ebscohost.com/,"1,501",C,2010
Management Accounting Research,1044-5005,1096-1224,http://www.elsevier.com/,"1,501",A,2010
Management Case Study Journal,1445-033X,,http://search.informit.com.au/,"1,503",C,2010
Management Communication Quarterly,0893-3189,1552-6798,http://www.sagepub.com/,"1,503",B,2010
Management Dynamics,1019-567X,,http://www.journals.co.za/ej/ejour_mandyn.html,"1,503",C,2010
Management International Review,0938-8249,1861-8901,http://www.mir-online.de/,"1,503",A,2010
Management Learning,1350-5076,1461-7307,http://mlq.sagepub.com/,"1,503",B,2010
Management Quarterly,0025-1860,1930-5494,http://www.nreca.org/,"1,503",C,2010
Management Research News,0140-9174,1758-6135,http://www.emeraldinsight.com/,"1,503",C,2010
Management Research Review,2040-8269,,,"1,503",C,2010
Management Review,0025-1895,,http://www.amanet.org/,"1,503",C,2010
Management Science,0025-1909,1526-5501,http://mansci.pubs.informs.org/,"1,503",A*,2010
Manager: the British journal of administrative management,1746-1278,,http://www.instam.org/products/manager.html,1503,C,2010
Managerial and Decision Economics: the international journal of research and progress in management economics,0143-6570,1099-1468,http://www3.interscience.wiley.com/,"1,402",B,2010
Managerial Auditing Journal,0268-6902,1758-7735,http://www.emeraldinsight.com/,"1,501",B,2010
Managerial Finance,0307-4358,1758-7743,http://www.emeraldinsight.com/,"1,502",C,2010
Managing Leisure,1360-6719,1466-450X,http://www.informaworld.com/,"1,506",B,2010
Managing Service Quality,0960-4529,1758-8030,http://www.proquest.com/,"1,505",B,2010
Manchester Journal of International Economic Law,1742-3945,,http://www.heinonline.org/,"1,80,105",C,2010
Manchester School,1463-6786,1467-9957,http://www3.interscience.wiley.com/,"1,402",B,2010
Manufacturing and Service Operations Management,1523-4614,1526-5498,http://www.msom.pubs.informs.org/,"1,503",B,2010
Margin (New Delhi): the journal of applied economic research,0973-8010,0973-8029,http://mar.sagepub.com/,"1,402",C,2010
Marine Policy,0308-597X,1872-9460,http://www.sciencedirect.com/,"1,80,105",A,2010
Marine Resource Economics,0738-1360,,,"1,402",C,2010
Maritime Economics and Logistics,1479-2931,1479-294X,http://www.palgrave-journals.com/,"1,402",B,2010
Maritime Policy and Management: an international journal of shipping and port research,0308-8839,1464-5254,http://www.informaworld.com/,"1,402",C,2010
Marketing Bulletin (Online),,1176-645X,http://www.ebscohost.com/,"1,505",C,2010
Marketing Education Review,1052-8008,,http://www.ebscohost.com/,"1,505",C,2010
Marketing Health Services,1094-1304,,http://www.ebscohost.com/,"1,505",C,2010
Marketing Intelligence and Planning,0263-4503,1758-8049,http://www.proquest.com/,"1,505",B,2010
Marketing Letters,0923-0645,1573-059X,http://www.springerlink.com/,"1,505",A,2010
Marketing Science,0732-2399,1526-548X,http://www.ebscohost.com/,"1,505",A*,2010
Marketing Theory,1470-5931,1741-301X,http://mtq.sagepub.com/,"1,505",B,2010
Mathematical Biosciences,0025-5564,,http://www.sciencedirect.com/,"1,403",B,2010
"Mathematical Finance: an international journal of mathematics, statistics and financial economics",0960-1627,1467-9965,http://www3.interscience.wiley.com/,"1,402",A,2010
Mathematical Gazette,0025-5572,,http://www.jstor.org/,"1,403",C,2010
Mathematical Methods in Economics and Finance,1971-6419,1971-3878,http://sunshine.dma.unive.it/,1502,C,2010
Mathematical Methods of Statistics,1066-5307,1934-8045,http://www.springer.com/,"1,403",B,2010
Mathematical Population Studies,0889-8480,1547-724X,http://www.informaworld.com/,"1,403",B,2010
Mathematical Programming,0025-5610,1436-4646,http://www.springerlink.com/,"1,503",A,2010
Mathematical Social Sciences,0165-4896,,http://www.sciencedirect.com/,"1,402",B,2010
Mathematics and Financial Economics,1862-9679,1862-9660,http://www.springerlink.com/,"1,402",C,2010
Measuring Business Excellence,1368-3047,1758-8057,http://www.emeraldinsight.com/,"1,503",C,2010
Media and Arts Law Review,1325-1570,,http://www.law.unimelb.edu.au/,"1,80,105",C,2010
Media Culture and Society,0163-4437,1460-3675,http://mcs.sagepub.com/,"1,503",B,2010
Medical Law International,0968-5332,,,"1,80,105",C,2010
Meditari Accountancy Research,1022-2529,,www.meditari.org.za,1501,C,2010
Melbourne Journal of International Law,1444-8602,1444-8610,http://www.heinonline.org/,"1,80,105",A,2010
Melbourne University Law Review,0025-8938,,http://www.heinonline.org/,"1,80,105",A,2010
Methodology and Computing in Applied Probability,1387-5841,1573-7713,http://www.springerlink.com/,"1,503",B,2010
Metrika: international journal for theoretical and applied statistics,0026-1335,1435-926X,http://www.springerlink.com/,"1,403",B,2010
Metroeconomica: international review of economics,0026-1386,1467-999X,http://www3.interscience.wiley.com/,"1,402",B,2010
Metron: international journal of statistics,0026-1424,,,"1,403",C,2010
Middle East Business and Economic Review,1035-3704,,http://www.proquest.co.uk/en-UK/,"1,402",C,2010
Middle East Policy,1061-1924,1475-4967,http://www3.interscience.wiley.com/,"1,499",B,2010
Millennium: journal of international studies,0305-8298,1477-9021,http://mil.sagepub.com/,"1,499",B,2010
Mind and Society,1593-7879,1860-1839,http://www.springerlink.com/,"1,402",C,2010
Minnesota Journal of Business Law and Entrepreneurship,1540-3270,,http://www.heinonline.org/,"1,80,105",B,2010
MIS Quarterly,0276-7783,,http://www.ebscohost.com/,806,A*,2010
MIS Quarterly Executive: a research journal dedicated to improving practice,1540-1960,1540-1979,,806,A,2010
MIT Sloan Management Review: MIT's journal of management research and ideas,1532-9194,1532-8937,http://sloanreview.mit.edu/,"1,503",A,2010
Mita Gakkai Zasshi,0026-6760,,,"1,402",C,2010
Mobile Information Systems,1574-017X,1875-905X,http://www.swetswise.com/,806,C,2010
Model Assisted Statistics and Applications: an international journal,1574-1699,1875-9068,http://www.swetswise.com/,"1,403",C,2010
Monash Business Review,1832-8490,,http://publications.epress.monash.edu/,"1,503",C,2010
Monash University Law Review,0311-3140,,http://www.heinonline.org/,"1,80,105",A,2010
Monetary and Economic Studies,0288-8432,1348-7787,http://www.imes.boj.or.jp/,"1,402",C,2010
Monte Carlo Methods and Applications,0929-9629,1569-3961,http://www.swetswise.com/,"1,403",C,2010
Motivation and Emotion,0146-7239,1573-6644,http://www.springerlink.com/,"1,503",A,2010
Mt Eliza Business Review,1444-2558,,,"1,503",C,2010
Multinational Business Review,1525-383X,,http://biib.slu.edu/MBR.html,"1,503",C,2010
Multinational Finance Journal,1096-1879,,,"1,502",B,2010
Multiscale Modelling and Simulation,1540-3459,1540-3467,http://epubs.siam.org/,"1,403",A,2010
Multivariate Behavioral Research,0027-3171,1532-7906,http://www.informaworld.com/,"1,503",A,2010
Narrative Inquiry,1387-6740,1569-9935,http://www.swetswise.com/,"1,503",B,2010
Nase Gospodarstvo,0547-3101,,,"1,402",C,2010
National Institute Economic Review,0027-9501,1741-3036,http://ner.sagepub.com/,"1,402",B,2010
National Tax Journal,0028-0283,1944-7477,http://www.proquest.co.uk/en-UK/,"1,80,125",A,2010
Nationalokonomisk Tidsskrift,0028-0453,,http://www.econ.ku.dk/nf/,"1,402",B,2010
Natural Resources Forum,0165-0203,1477-8947,http://www3.interscience.wiley.com/,"1,499",C,2010
Naval Research Logistics,0894-069X,1520-6750,http://www3.interscience.wiley.com/,"1,503",B,2010
Negotiation and Conflict Management Research,1750-4708,1750-4716,http://www.wiley.com/,"1,503",C,2010
Negotiation Journal: on the process of dispute settlement,0748-4526,1571-9979,http://www.wiley.com/,"1,503",B,2010
Netnomics,1385-9587,1573-7071,http://www.springerlink.com/,"1,402",C,2010
Networks and Spatial Economics,1566-113X,1572-9427,http://www.springerlink.com/,"1,402",C,2010
New Directions for Evaluation,1097-6736,0164-7989,http://www3.interscience.wiley.com/,"1,503",B,2010
New England Journal of Entrepreneurship,1550-333X,,,"1,503",C,2010
New Law Journal,0306-6479,,,"1,80,105",C,2010
New Left Review,0028-6060,,http://www.newleftreview.org/,"1,499",B,2010
New Perspectives on Political Economy,1801-0938,,http://pcpe.libinst.cz/nppe/,"1,402",C,2010
New Political Economy,1356-3467,1469-9923,http://www.informaworld.com/,"1,402",B,2010
"New Technology, Work and Employment",0268-1072,1468-005X,http://www3.interscience.wiley.com/,"1,503",B,2010
New York Economic Review,1090-5693,,,"1,402",C,2010
New Zealand Business Law Quarterly,1173-311X,,,"1,80,105",A,2010
New Zealand Economic Papers,0077-9954,1943-4863,http://comecon.eco.auckland.ac.nz/nzep/,"1,402",B,2010
